key,key:inventor,ticker,name,description,startMoment,endMoment,moreInfo,draftMode
# Base
invention-01,"","","","","","","",""
# Ticker
invention-02,inventor-01,"","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/08 0:00,2200/12/31 23:59,"http://lorem.com/ipsum",1
invention-03,inventor-01,"A00-abcde","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/08 0:00,2200/12/31 23:59,"http://lorem.com/ipsum",1
invention-04,inventor-01,"aa00-abcde","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/08 0:00,2200/12/31 23:59,"http://lorem.com/ipsum",1
invention-05,inventor-01,"aa00-abcdefghijk","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/08 0:00,2200/12/31 23:59,"http://lorem.com/ipsum",1
# Name
invention-06,inventor-01,AA01-AAAAAA,"","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/08 0:00,2200/12/31 23:59,"http://lorem.com/ipsum",1
invention-07,inventor-01,AA02-AAAAAA,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/08 0:00,2200/12/31 23:59,"http://lorem.com/ipsum",1
# Description
invention-08,inventor-01,AA03-AAAAAA,"Lorem ipsum dolor sit amet, consectetu","",2025/01/08 0:00,2200/12/31 23:59,"http://lorem.com/ipsum",1
invention-09,inventor-01,AA04-AAAAAA,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",2025/01/08 0:00,2200/12/31 23:59,"http://lorem.com/ipsum",1
# StartMoment
invention-10,inventor-01,AA05-AAAAAA,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","",2200/12/31 23:59,"http://lorem.com/ipsum",1
invention-11,inventor-01,AA06-AAAAAA,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",1999/12/31 23:59,2200/12/31 23:59,"http://lorem.com/ipsum",1
invention-13,inventor-01,AA08-AAAAAA,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2201/01/01 0:00,2200/12/31 23:59,"http://lorem.com/ipsum",1
# EndMoment
