key,key:sponsorship,name,notes,money,kind
# Base
donation-01,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
# Name
donation-02,sponsorship-01,"L","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
donation-03,sponsorship-01,"Lo","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
donation-04,sponsorship-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
donation-05,sponsorship-01,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
donation-06,sponsorship-01,"โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
donation-07,sponsorship-01,"لوريم إيبسوم","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
donation-08,sponsorship-01,"洛伦·伊普森","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
donation-09,sponsorship-01,"<marquee>Hacked</marquee>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
donation-10,sponsorship-01,"<script>alert(‘Hacked!’);</script>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
donation-11,sponsorship-01,"' or 'A' = 'A","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",EUR 500000.00,ALTRUIST
# Notes
donation-12,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","L",EUR 500000.00,ALTRUIST
donation-13,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","Lo",EUR 500000.00,ALTRUIST
donation-14,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",EUR 500000.00,ALTRUIST
donation-15,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",EUR 500000.00,ALTRUIST
donation-16,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","โลเร็ม อิปซัม",EUR 500000.00,ALTRUIST
donation-17,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","لوريم إيبسوم",EUR 500000.00,ALTRUIST
donation-18,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","洛伦·伊普森",EUR 500000.00,ALTRUIST
donation-19,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","<marquee>Hacked</marquee>",EUR 500000.00,ALTRUIST
donation-20,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","<script>alert(‘Hacked!’);</script>",EUR 500000.00,ALTRUIST
donation-21,sponsorship-01,"Lorem ipsum dolor sit amet, consectetu","' or 'A' = 'A",EUR 500000.00,ALTRUIST
# Money
